EXERCISE,CALL_BID x CALL_ASK,CALL_VOLUMEN,CALL_INTERES_ABIERTO,CALL_DELTA,CALL_GAMMA,CALL_VEGA,CALL_THETA,PUT_BID x PUT_ASK,PUT_VOLUMEN,PUT_INTERES_ABIERTO,PUT_DELTA,PUT_GAMMA,PUT_VEGA,PUT_THETA
595,98.44 x 98.56,0,3900,0.996,0.000,0.016,-0.097,0.05 x 0.06,13,96000,-0.004,0.000,0.016,-0.021
600,93.45 x 93.57,3060,18600,0.996,0.000,0.016,-0.100,0.05 x 0.06,3110,46000,-0.004,0.000,0.016,-0.023
605,88.46 x 88.60,2,3450,0.995,0.000,0.016,-0.103,0.06 x 0.07,26,19500,-0.005,0.000,0.016,-0.025
610,83.48 x 83.59,3,4280,0.994,0.000,0.017,-0.106,0.06 x 0.07,9,27200,-0.006,0.000,0.017,-0.028
615,78.49 x 78.61,1,2900,0.994,0.001,0.024,-0.107,0.07 x 0.08,8,12400,-0.006,0.001,0.023,-0.028
620,73.50 x 73.62,24,5370,0.993,0.001,0.027,-0.110,0.08 x 0.09,72,22100,-0.007,0.001,0.027,-0.030
621,72.45 x 73.87,40,0,0.992,0.001,0.027,-0.110,0.08 x 0.09,3,5400,-0.008,0.001,0.027,-0.031
622,70.41 x 72.87,42,0,0.992,0.001,0.027,-0.113,0.08 x 0.09,20,1850,-0.008,0.001,0.027,-0.033
623,69.41 x 71.87,45,0,0.992,0.001,0.027,-0.113,0.08 x 0.09,24,1470,-0.008,0.001,0.027,-0.034
624,69.51 x 69.63,196,0,0.992,0.001,0.027,-0.115,0.08 x 0.09,190,2840,-0.009,0.001,0.027,-0.035
625,68.52 x 68.65,3000,0,0.991,0.001,0.027,-0.116,0.09 x 0.10,545,27200,-0.009,0.001,0.027,-0.036
626,67.52 x 67.64,105,0,0.991,0.001,0.027,-0.117,0.09 x 0.10,4,1450,-0.009,0.001,0.027,-0.037
627,65.30 x 67.93,2,0,0.991,0.001,0.027,-0.118,0.09 x 0.10,17,2370,-0.009,0.001,0.027,-0.038
628,65.53 x 65.65,1,0,0.990,0.001,0.027,-0.119,0.09 x 0.10,1,1950,-0.010,0.001,0.027,-0.039
629,63.40 x 65.89,1,0,0.990,0.001,0.030,-0.120,0.09 x 0.10,290,1370,-0.010,0.001,0.030,-0.040
630,63.54 x 63.67,24,3770,0.990,0.001,0.032,-0.120,0.10 x 0.11,628,21800,-0.010,0.001,0.032,-0.040
631,62.54 x 62.66,221,0,0.989,0.001,0.035,-0.120,0.10 x 0.11,5,961,-0.011,0.001,0.035,-0.039
632,60.45 x 62.91,2,0,0.989,0.001,0.037,-0.120,0.10 x 0.11,592,2170,-0.011,0.001,0.038,-0.039
633,59.45 x 61.91,94,0,0.989,0.001,0.040,-0.119,0.10 x 0.11,0,951,-0.011,0.001,0.040,-0.038
634,58.45 x 60.90,46,0,0.988,0.001,0.042,-0.119,0.11 x 0.12,241,943,-0.012,0.001,0.042,-0.038
635,58.55 x 58.70,1,4430,0.988,0.001,0.043,-0.120,0.11 x 0.12,1030,35200,-0.012,0.001,0.043,-0.039
636,57.55 x 57.70,556,0,0.988,0.001,0.043,-0.122,0.11 x 0.12,6,1260,-0.013,0.001,0.043,-0.041
637,55.47 x 58.02,24,0,0.987,0.001,0.043,-0.124,0.12 x 0.13,2,2100,-0.013,0.001,0.043,-0.043
638,54.47 x 57.02,44,0,0.986,0.001,0.043,-0.126,0.12 x 0.13,7,8570,-0.014,0.001,0.043,-0.044
639,53.47 x 56.03,25,0,0.986,0.001,0.043,-0.128,0.12 x 0.13,1,1020,-0.014,0.001,0.043,-0.046
640,53.58 x 53.72,45,15900,0.985,0.001,0.043,-0.130,0.13 x 0.14,182,51100,-0.015,0.001,0.043,-0.048
641,52.58 x 52.73,169,0,0.985,0.002,0.043,-0.132,0.13 x 0.14,81,1310,-0.015,0.002,0.043,-0.050
642,51.59 x 51.73,172,0,0.984,0.002,0.043,-0.133,0.14 x 0.15,5,17400,-0.016,0.002,0.043,-0.052
643,49.26 x 52.05,75,0,0.983,0.002,0.047,-0.135,0.14 x 0.15,5,15900,-0.017,0.002,0.047,-0.053
644,49.60 x 49.74,844,0,0.983,0.002,0.051,-0.135,0.15 x 0.16,8,16700,-0.017,0.002,0.051,-0.052
645,48.61 x 48.75,7,8130,0.982,0.002,0.056,-0.134,0.15 x 0.16,504,30600,-0.018,0.002,0.056,-0.052
646,46.28 x 48.97,40,0,0.981,0.002,0.060,-0.133,0.16 x 0.17,91,17000,-0.019,0.002,0.060,-0.051
647,46.62 x 46.76,354,0,0.981,0.002,0.064,-0.133,0.16 x 0.17,2000,55200,-0.020,0.002,0.064,-0.051
648,44.54 x 46.99,51,0,0.980,0.002,0.064,-0.137,0.17 x 0.18,3060,3220,-0.021,0.002,0.064,-0.054
649,43.49 x 45.99,43,0,0.979,0.002,0.064,-0.140,0.17 x 0.18,161,8370,-0.021,0.002,0.064,-0.056
650,43.64 x 43.78,13,28900,0.978,0.002,0.064,-0.142,0.18 x 0.19,4740,73300,-0.023,0.002,0.065,-0.059
651,41.56 x 42.78,22,0,0.976,0.003,0.064,-0.146,0.19 x 0.20,49,37000,-0.024,0.003,0.065,-0.063
652,40.56 x 43.03,28,0,0.975,0.003,0.065,-0.150,0.20 x 0.21,8,6950,-0.025,0.003,0.065,-0.066
653,39.58 x 42.06,2,0,0.974,0.003,0.069,-0.152,0.20 x 0.21,3020,18600,-0.026,0.003,0.068,-0.069
654,38.58 x 41.06,2,0,0.972,0.003,0.076,-0.152,0.21 x 0.22,364,22800,-0.028,0.003,0.076,-0.068
655,38.69 x 38.83,116,7810,0.971,0.003,0.083,-0.151,0.22 x 0.23,706,21900,-0.029,0.003,0.084,-0.067
656,36.58 x 39.06,1,18,0.969,0.003,0.092,-0.150,0.23 x 0.24,69,4950,-0.031,0.003,0.092,-0.066
657,35.49 x 38.08,15,0,0.967,0.004,0.093,-0.155,0.25 x 0.26,46,19800,-0.033,0.004,0.093,-0.071
658,34.58 x 37.19,31,0,0.965,0.004,0.093,-0.161,0.26 x 0.27,122,2220,-0.035,0.004,0.093,-0.077
659,33.65 x 36.11,13,0,0.964,0.004,0.093,-0.165,0.27 x 0.28,731,3560,-0.037,0.004,0.093,-0.083
660,33.76 x 33.90,411,10800,0.961,0.004,0.093,-0.174,0.29 x 0.30,1550,52700,-0.040,0.004,0.094,-0.090
661,32.61 x 33.22,20,0,0.958,0.005,0.102,-0.173,0.31 x 0.32,3260,15100,-0.042,0.005,0.102,-0.089
662,31.63 x 32.25,1,30,0.956,0.005,0.114,-0.171,0.32 x 0.33,261,23100,-0.045,0.005,0.115,-0.087
663,30.82 x 30.96,605,0,0.953,0.005,0.127,-0.170,0.34 x 0.35,97,2200,-0.047,0.005,0.127,-0.086
664,29.68 x 30.29,13,0,0.949,0.006,0.130,-0.179,0.37 x 0.38,198,2320,-0.051,0.006,0.130,-0.094
665,28.88 x 29.01,343,12000,0.945,0.006,0.130,-0.189,0.39 x 0.40,6030,24900,-0.055,0.006,0.130,-0.105
666,27.74 x 28.34,2,63,0.941,0.007,0.130,-0.199,0.42 x 0.43,515,3160,-0.059,0.007,0.130,-0.114
667,26.77 x 27.37,1,45,0.937,0.007,0.140,-0.197,0.45 x 0.46,566,2100,-0.064,0.007,0.141,-0.112
668,25.81 x 26.40,30,0,0.932,0.008,0.159,-0.195,0.49 x 0.50,95,1660,-0.068,0.008,0.160,-0.110
669,24.86 x 25.43,45,0,0.927,0.008,0.173,-0.199,0.52 x 0.53,577,2600,-0.074,0.008,0.173,-0.115
