EXERCISE,CALL_BID x CALL_ASK,CALL_VOLUMEN,CALL_INTERES_ABIERTO,CALL_DELTA,CALL_GAMMA,CALL_VEGA,CALL_THETA,PUT_BID x PUT_ASK,PUT_VOLUMEN,PUT_INTERES_ABIERTO,PUT_DELTA,PUT_GAMMA,PUT_VEGA,PUT_THETA
715,0.07 x 0.08,2220,17700,0.021,0.005,0.068,-0.029,21.15 x 23.83,1,2,-1.000,0.000,0.000,0.000
716,0.06 x 0.07,299,804,0.018,0.004,0.061,-0.025,22.15 x 24.83,,,-1.000,0.000,0.000,0.000
717,0.05 x 0.06,81,798,0.016,0.004,0.055,-0.022,23.15 x 25.83,,,-1.000,0.000,0.000,0.000
718,0.05 x 0.06,155,1450,0.014,0.003,0.051,-0.022,24.15 x 26.83,,,-1.000,0.000,0.000,0.000
719,0.04 x 0.05,37,797,0.013,0.003,0.046,-0.020,25.15 x 27.83,,,-1.000,0.000,0.000,0.000
720,0.04 x 0.05,672,18900,0.012,0.003,0.044,-0.019,26.15 x 28.83,3,6,-1.000,0.000,0.000,0.000
721,0.04 x 0.05,,30,0.011,0.002,0.040,-0.017,27.18 x 29.83,,,-1.000,0.000,0.000,0.000
722,0.04 x 0.05,,30,0.010,0.002,0.037,-0.016,28.17 x 30.82,,,-1.000,0.000,0.000,0.000
725,0.03 x 0.04,1170,19200,0.009,0.002,0.034,-0.016,31.17 x 33.83,,,-1.000,0.000,0.000,0.000
730,0.03 x 0.04,2110,17700,0.007,0.001,0.028,-0.015,36.17 x 38.81,,,-1.000,0.000,0.000,0.000
735,0.03 x 0.04,45,20700,0.006,0.001,0.022,-0.013,41.17 x 43.83,,,-1.000,0.000,0.000,0.000
740,0.02 x 0.03,38,20600,0.005,0.001,0.021,-0.012,46.17 x 48.83,,,-1.000,0.000,0.000,0.000
745,0.02 x 0.03,5,10400,0.004,0.001,0.018,-0.012,51.17 x 53.83,,,-1.000,0.000,0.000,0.000
750,0.02 x 0.03,1730,20200,0.004,0.001,0.014,-0.011,56.17 x 58.83,,,-1.000,0.000,0.000,0.000
755,0.02 x 0.03,1310,5560,0.003,0.000,0.013,-0.010,61.17 x 63.83,,,-1.000,0.000,0.000,0.000
760,0.01 x 0.02,134,4660,0.003,0.000,0.013,-0.009,66.17 x 68.83,,,-1.000,0.000,0.000,0.000
765,0.01 x 0.02,,5740,0.002,0.000,0.011,-0.009,71.16 x 73.83,,,-1.000,0.000,0.000,0.000
770,0.01 x 0.02,1,13100,0.002,0.000,0.010,-0.009,76.16 x 78.83,,,-1.000,0.000,0.000,0.000
775,0.01 x 0.02,16,3670,0.002,0.000,0.009,-0.009,81.16 x 83.83,,,-1.000,0.000,0.000,0.000
780,0.01 x 0.02,4,4190,0.002,0.000,0.007,-0.009,86.16 x 88.84,,,-1.000,0.000,0.000,0.000
